final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
896878,2017-04-17,Intuit Inc,final_cik,896878.0,21.0,ok,2015-04-18,2017-11-01,,,
896878,2017-04-30,Intuit Inc,final_cik,896878.0,21.0,ok,2015-05-01,2017-11-13,,,
896878,2017-06-01,Intuit Inc.,final_cik,896878.0,22.0,ok,2015-06-02,2018-01-17,,,
896878,2017-06-14,"Intuit, Inc.",final_cik,896878.0,21.0,ok,2015-06-15,2017-12-11,,,
896878,2017-07-30,"Intuit, Inc.",final_cik,896878.0,24.0,ok,2015-07-31,2018-02-11,,,
896878,2017-08-08,Intuit Inc.,final_cik,896878.0,23.0,ok,2015-08-09,2018-02-04,,,
896878,2017-08-16,Intuit Inc.,final_cik,896878.0,24.0,ok,2015-08-17,2018-02-12,,,
896878,2017-08-25,Intuit Inc.,final_cik,896878.0,23.0,ok,2015-08-26,2018-02-21,,,
896878,2017-09-01,Intuit Inc,final_cik,896878.0,24.0,ok,2015-09-02,2018-02-28,,,
896878,2017-10-17,Intuit,final_cik,896878.0,24.0,ok,2015-10-18,2018-04-15,,,
896878,2018-02-06,Intuit Inc.,final_cik,896878.0,23.0,ok,2016-02-07,2018-09-01,,,
896878,2018-03-14,Intuit Inc.,final_cik,896878.0,22.0,ok,2016-03-14,2018-09-10,,,
896878,2018-04-26,Intuit,final_cik,896878.0,22.0,ok,2016-04-26,2018-10-23,,,
896878,2018-05-16,Intuit,final_cik,896878.0,22.0,ok,2016-05-16,2018-11-12,,,
896878,2018-06-15,Intuit Inc,final_cik,896878.0,22.0,ok,2016-06-15,2018-12-12,,,
896878,2019-01-29,"Intuit, Inc.",final_cik,896878.0,24.0,ok,2017-01-29,2019-08-25,,,
896878,2019-02-21,"Intuit, Inc.",final_cik,896878.0,23.0,ok,2017-02-21,2019-09-08,,,
896878,2019-03-21,Intuit Inc.,final_cik,896878.0,23.0,ok,2017-03-21,2020-01-22,,,
